d,sigma,theta,k
0.003,0.07,0.3,0
0.0035,0.065,0.3,0
0.002,0.065,0.15,0
0.0035,0.06,0.35,0
0.003,0.075,0.05,0
0.0025,0.08,0.15,0
0.001,0.055,0.45,0
0.002,0.075,0.1,0
0.003,0.075,0.65,0
0.004,0.075,0.6,0
0.0035,0.1,0.1,0
0.003,0.07,0.5,0
0.0025,0.07,0.25,0
0.0015,0.065,0.4,0
0.0015,0.07,0.2,0
0.003,0.09,0.2,0
0.004,0.09,0.1,0
0.002,0.055,0.15,0
0.003,0.08,0.25,0
0.001,0.075,0.5,0
0.0015,0.07,0.6,0
0.0015,0.065,0.3,0
0.004,0.085,0,0
0.002,0.06,0,0
0.0025,0.09,0.25,0
0.0035,0.085,0.35,0
0.004,0.075,0.4,0
0.002,0.065,0.45,0
0.0035,0.06,0.5,0
0.003,0.08,0.25,0
0.003,0.08,0.25,0
0.001,0.06,0.4,0
0.0025,0.07,0.35,0
0.0035,0.085,0.65,0
0.0035,0.08,0.6,0
0.004,0.1,0.3,0
0.0035,0.085,0.65,0
0.0025,0.07,0.65,0
0.002,0.065,0.4,0
0.0015,0.065,0.45,0
0.0035,0.09,0.45,0
0.005,0.095,0.35,0
0.0015,0.055,0.4,0
0.0035,0.085,0.4,0
0.001,0.08,0.7,0
0.002,0.065,0.4,0
0.0015,0.06,0.4,0
0.005,0.09,0.05,0
0.002,0.06,0.25,0
0.0025,0.09,0.55,0
